service_id,date,exception_type
0088UE34572040981258,20140804,2
0088UE34572040981258,20140805,2
0088UE34572040981258,20140806,2
0088UE34572040981258,20140807,2
0088UE34572040981258,20140808,2
0088UE34572040981258,20140811,2
0088UE34572040981258,20140812,2
0088UE34572040981258,20140813,2
0088UE34572040981258,20140814,2
0088UE34572040981258,20140815,2
0088UE34572040981258,20140818,2
0088UE34572040981258,20140819,2
0088UE34572040981258,20140820,2
0088UE34572040981258,20140821,2
0088UE34572040981258,20140822,2
0088UE34572045987651,20140809,2
0088UE34572045987651,20140816,2
0091UE54640730330636,20140809,2
0091UE54640730330636,20140816,2
0091UE54640740335681,20140719,2
0091UE54640740335681,20140726,2
0091UE54640740335681,20140802,2
0091UE54640800349741,20140809,2
0091UE54640800349741,20140816,2
0091UE54640810356771,20140719,2
0091UE54640810356771,20140726,2
0091UE54640810356771,20140802,2
0093UE54680710724499,20140804,2
0093UE54680710724499,20140805,2
0093UE54680710724499,20140806,2
0093UE54680710724499,20140807,2
0093UE54680710724499,20140808,2
0093UE54680710724499,20140811,2
0093UE54680710724499,20140812,2
0093UE54680710724499,20140813,2
0093UE54680710724499,20140814,2
0093UE54680710724499,20140815,2
0093UE54680710724499,20140818,2
0093UE54680710724499,20140819,2
0093UE54680710724499,20140820,2
0093UE54680710724499,20140821,2
0093UE54680710724499,20140822,2
0093UE54680720738273,20140721,2
0093UE54680720738273,20140722,2
0093UE54680720738273,20140723,2
0093UE54680720738273,20140724,2
0093UE54680720738273,20140725,2
0093UE54680720738273,20140728,2
0093UE54680720738273,20140729,2
0093UE54680720738273,20140730,2
0093UE54680720738273,20140731,2
0093UE54680720738273,20140801,2
0093UE54680740770699,20140804,2
0093UE54680740770699,20140805,2
0093UE54680740770699,20140806,2
0093UE54680740770699,20140807,2
0093UE54680740770699,20140808,2
0093UE54680740770699,20140811,2
0093UE54680740770699,20140812,2
0093UE54680740770699,20140813,2
0093UE54680740770699,20140814,2
0093UE54680740770699,20140815,2
0093UE54680740770699,20140818,2
0093UE54680740770699,20140819,2
0093UE54680740770699,20140820,2
0093UE54680740770699,20140821,2
0093UE54680740770699,20140822,2
0093UE54680750784473,20140721,2
0093UE54680750784473,20140722,2
0093UE54680750784473,20140723,2
0093UE54680750784473,20140724,2
0093UE54680750784473,20140725,2
0093UE54680750784473,20140728,2
0093UE54680750784473,20140729,2
0093UE54680750784473,20140730,2
0093UE54680750784473,20140731,2
0093UE54680750784473,20140801,2
0093UE54680810813929,20140804,2
0093UE54680810813929,20140805,2
0093UE54680810813929,20140806,2
0093UE54680810813929,20140807,2
0093UE54680810813929,20140808,2
0093UE54680810813929,20140811,2
0093UE54680810813929,20140812,2
0093UE54680810813929,20140813,2
0093UE54680810813929,20140814,2
0093UE54680810813929,20140815,2
0093UE54680810813929,20140818,2
0093UE54680810813929,20140819,2
0093UE54680810813929,20140820,2
0093UE54680810813929,20140821,2
0093UE54680810813929,20140822,2
0093UE54680820830673,20140721,2
0093UE54680820830673,20140722,2
0093UE54680820830673,20140723,2
0093UE54680820830673,20140724,2
0093UE54680820830673,20140725,2
0093UE54680820830673,20140728,2
0093UE54680820830673,20140729,2
0093UE54680820830673,20140730,2
0093UE54680820830673,20140731,2
0093UE54680820830673,20140801,2
0093UE546815401514544,20140804,2
0093UE546815401514544,20140805,2
0093UE546815401514544,20140806,2
0093UE546815401514544,20140807,2
0093UE546815401514544,20140808,2
0093UE546815401514544,20140811,2
0093UE546815401514544,20140812,2
0093UE546815401514544,20140813,2
0093UE546815401514544,20140814,2
0093UE546815401514544,20140815,2
0093UE546815401514544,20140818,2
0093UE546815401514544,20140819,2
0093UE546815401514544,20140820,2
0093UE546815401514544,20140821,2
0093UE546815401514544,20140822,2
0093UE546815501530474,20140721,2
0093UE546815501530474,20140722,2
0093UE546815501530474,20140723,2
0093UE546815501530474,20140724,2
0093UE546815501530474,20140725,2
0093UE546815501530474,20140728,2
0093UE546815501530474,20140729,2
0093UE546815501530474,20140730,2
0093UE546815501530474,20140731,2
0093UE546815501530474,20140801,2
0093UE546816101565679,20140804,2
0093UE546816101565679,20140805,2
0093UE546816101565679,20140806,2
0093UE546816101565679,20140807,2
0093UE546816101565679,20140808,2
0093UE546816101565679,20140811,2
0093UE546816101565679,20140812,2
0093UE546816101565679,20140813,2
0093UE546816101565679,20140814,2
0093UE546816101565679,20140815,2
0093UE546816101565679,20140818,2
0093UE546816101565679,20140819,2
0093UE546816101565679,20140820,2
0093UE546816101565679,20140821,2
0093UE546816101565679,20140822,2
0093UE546816201576674,20140721,2
0093UE546816201576674,20140722,2
0093UE546816201576674,20140723,2
0093UE546816201576674,20140724,2
0093UE546816201576674,20140725,2
0093UE546816201576674,20140728,2
0093UE546816201576674,20140729,2
0093UE546816201576674,20140730,2
0093UE546816201576674,20140731,2
0093UE546816201576674,20140801,2
0093UE546816401606944,20140804,2
0093UE546816401606944,20140805,2
0093UE546816401606944,20140806,2
0093UE546816401606944,20140807,2
0093UE546816401606944,20140808,2
0093UE546816401606944,20140811,2
0093UE546816401606944,20140812,2
0093UE546816401606944,20140813,2
0093UE546816401606944,20140814,2
0093UE546816401606944,20140815,2
0093UE546816401606944,20140818,2
0093UE546816401606944,20140819,2
0093UE546816401606944,20140820,2
0093UE546816401606944,20140821,2
0093UE546816401606944,20140822,2
0093UE546816501622874,20140721,2
0093UE546816501622874,20140722,2
0093UE546816501622874,20140723,2
0093UE546816501622874,20140724,2
0093UE546816501622874,20140725,2
0093UE546816501622874,20140728,2
0093UE546816501622874,20140729,2
0093UE546816501622874,20140730,2
0093UE546816501622874,20140731,2
0093UE546816501622874,20140801,2
0095UE54650810866298,20140809,2
0095UE54650810866298,20140816,2
0095UE54650820885085,20140719,2
0095UE54650820885085,20140726,2
0095UE54650820885085,20140802,2
0095UE54650840915888,20140809,2
0095UE54650840915888,20140816,2
0095UE54650840918385,20140804,2
0095UE54650840918385,20140805,2
0095UE54650840918385,20140806,2
0095UE54650840918385,20140807,2
0095UE54650840918385,20140808,2
0095UE54650840918385,20140811,2
0095UE54650840918385,20140812,2
