service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0075ML577906501378802,1,1,1,1,1,0,0,20140719,20140822
0075ML577907101475414,1,1,1,1,1,0,0,20140719,20140822
0075ML577907401578463,1,1,1,1,1,0,0,20140719,20140822
0075ML577915152963630,1,1,1,1,1,0,0,20140719,20140822
0075ML577915503065794,1,1,1,1,1,0,0,20140719,20140822
0075ML577916203160127,1,1,1,1,1,0,0,20140719,20140822
0075ML577916503249634,1,1,1,1,1,0,0,20140719,20140822
0075ML577917203341167,1,1,1,1,1,0,0,20140719,20140822
0075ML577917503429376,1,1,1,1,1,0,0,20140719,20140822
0075ML577918153506401,1,1,1,1,1,0,0,20140719,20140822
0076ML556005551256520,1,1,1,1,1,0,0,20140719,20140822
0076ML556006251370945,1,1,1,1,1,0,0,20140719,20140822
0076ML556006551493646,1,1,1,1,1,0,0,20140719,20140822
0076ML556007201584241,1,1,1,1,1,0,0,20140719,20140822
0076ML556007551689690,1,1,1,1,1,0,0,20140719,20140822
0076ML556008301799909,1,1,1,1,1,0,0,20140719,20140822
0076ML556015253145479,1,1,1,1,1,0,0,20140719,20140822
0076ML556015553245998,1,1,1,1,1,0,0,20140719,20140822
0076ML556016253343198,1,1,1,1,1,0,0,20140719,20140822
0076ML556016553439262,1,1,1,1,1,0,0,20140719,20140822
0076ML556017253527192,1,1,1,1,1,0,0,20140719,20140822
0076ML556017553608015,1,1,1,1,1,0,0,20140719,20140822
0076ML556018153661534,1,1,1,1,1,0,0,20140719,20140822
0077ML439908151762207,1,1,1,1,1,0,0,20140719,20140822
0077ML439908451843168,1,1,1,1,1,0,0,20140719,20140822
0077ML439909151940368,1,1,1,1,1,0,0,20140719,20140822
0077ML439909452037568,1,1,1,1,1,0,0,20140719,20140822
0077ML439910152134768,1,1,1,1,1,0,0,20140719,20140822
0077ML439910402215768,1,1,1,1,1,0,0,20140719,20140822
0077ML439911102312968,1,1,1,1,1,0,0,20140719,20140822
0077ML439911402410168,1,1,1,1,1,0,0,20140719,20140822
0077ML439912102508142,1,1,1,1,1,0,0,20140719,20140822
0077ML439912402610000,1,1,1,1,1,0,0,20140719,20140822
0077ML439913102707200,1,1,1,1,1,0,0,20140719,20140822
0077ML439913402804400,1,1,1,1,1,0,0,20140719,20140822
0077ML439914102905141,1,1,1,1,1,0,0,20140719,20140822
0077ML439914403004358,1,1,1,1,1,0,0,20140719,20140822
0078ML578009002077744,1,1,1,1,1,0,0,20140719,20140822
0078ML578009252166994,1,1,1,1,1,0,0,20140719,20140822
0078ML578009552274094,1,1,1,1,1,0,0,20140719,20140822
0078ML578010252381194,1,1,1,1,1,0,0,20140719,20140822
0078ML578010552488294,1,1,1,1,1,0,0,20140719,20140822
0078ML578011252595394,1,1,1,1,1,0,0,20140719,20140822
0078ML578011552702494,1,1,1,1,1,0,0,20140719,20140822
0078ML578012252809594,1,1,1,1,1,0,0,20140719,20140822
0078ML578012552916694,1,1,1,1,1,0,0,20140719,20140822
0078ML578013253023794,1,1,1,1,1,0,0,20140719,20140822
0078ML578013553130894,1,1,1,1,1,0,0,20140719,20140822
0078ML578014253237994,1,1,1,1,1,0,0,20140719,20140822
0078ML578014553351417,1,1,1,1,1,0,0,20140719,20140822
0079ML583918453673079,1,1,1,1,1,0,0,20140719,20140822
0079ML583919153764022,1,1,1,1,1,0,0,20140719,20140822
0079ML583920153953622,1,1,1,1,1,0,0,20140719,20140822
0079ML583921154143222,1,1,1,1,1,0,0,20140719,20140822
0088UE34572040981258,1,1,1,1,1,0,0,20140719,20140822
0088UE34572045987651,0,0,0,0,0,1,0,20140719,20140822
0091UE54640630286471,1,1,1,1,1,0,0,20140719,20140822
0091UE54640700309270,1,1,1,1,1,0,0,20140719,20140822
